StudentCode,StudentName,UcCode,ClassCode
202025232,Iara,L.EIC002,1LEIC05
202031607,Gisela,L.EIC004,1LEIC08
202031607,Gisela,L.EIC005,1LEIC08
202079037,Jose Jesualdo,L.EIC023,3LEIC08
202071557,Ludovico,L.EIC021,3LEIC04
202071557,Ludovico,L.EIC022,3LEIC02
202071557,Ludovico,L.EIC023,3LEIC07
202071557,Ludovico,L.EIC025,3LEIC07
202028717,Rute,L.EIC003,1LEIC04
202028717,Rute,L.EIC011,2LEIC11
202028717,Rute,L.EIC012,2LEIC11
202040617,Abilio,L.EIC011,2LEIC10
202040617,Abilio,L.EIC021,3LEIC12
202040617,Abilio,L.EIC022,3LEIC08
202040617,Abilio,L.EIC023,3LEIC13
202040617,Abilio,L.EIC024,3LEIC12
202040617,Abilio,L.EIC025,3LEIC10
202027527,Renata,L.EIC003,1LEIC13
202027527,Renata,L.EIC004,1LEIC13
202027527,Renata,L.EIC005,1LEIC14
202024127,Helena,L.EIC002,1LEIC02
202024127,Helena,L.EIC012,2LEIC01
202024127,Helena,L.EIC013,2LEIC01
202025487,Eunice,L.EIC002,1LEIC08
202025487,Eunice,L.EIC005,1LEIC03
202025487,Eunice,L.EIC011,2LEIC14
202025487,Eunice,L.EIC012,2LEIC14
202025487,Eunice,L.EIC013,2LEIC14
202025487,Eunice,L.EIC014,2LEIC14
202025487,Eunice,L.EIC015,2LEIC14
202020302,Carolina,L.EIC001,1LEIC10
202020302,Carolina,L.EIC002,1LEIC14
202020302,Carolina,L.EIC004,1LEIC16
202020302,Carolina,L.EIC012,2LEIC13
202020302,Carolina,L.EIC014,2LEIC16
202059487,Jose Placido,L.EIC013,2LEIC10
202066542,Manuel Serafim,L.EIC021,3LEIC11
202066542,Manuel Serafim,L.EIC022,3LEIC08
202066542,Manuel Serafim,L.EIC023,3LEIC13
202066542,Manuel Serafim,L.EIC024,3LEIC08
202066542,Manuel Serafim,L.EIC025,3LEIC15
202029482,Dolores,L.EIC003,1LEIC14
202029482,Dolores,L.EIC004,1LEIC16
202029482,Dolores,L.EIC013,2LEIC03
202055067,Jose Valter,L.EIC012,2LEIC01
202055067,Jose Valter,L.EIC013,2LEIC02
202055067,Jose Valter,L.EIC023,3LEIC04
202055067,Jose Valter,L.EIC024,3LEIC05
202041722,Manuel Maximiano,L.EIC011,2LEIC09
202041722,Manuel Maximiano,L.EIC023,3LEIC05
202054812,Manuel Mauro,L.EIC011,2LEIC13
202054812,Manuel Mauro,L.EIC021,3LEIC14
202054812,Manuel Mauro,L.EIC023,3LEIC13
202054812,Manuel Mauro,L.EIC024,3LEIC09
202054812,Manuel Mauro,L.EIC025,3LEIC11
202078867,Manuel Jaime,L.EIC023,3LEIC11
202078272,Maximiano,L.EIC023,3LEIC12
202020472,Mariana,L.EIC001,1LEIC13
202020472,Mariana,L.EIC002,1LEIC14
202020472,Mariana,L.EIC012,2LEIC14
202021577,Mara,L.EIC001,1LEIC05
202079377,Manuel Gastao,L.EIC023,3LEIC13
202041552,Igor,L.EIC011,2LEIC06
202041552,Igor,L.EIC014,2LEIC04
202041552,Igor,L.EIC015,2LEIC03
202041552,Igor,L.EIC021,3LEIC10
202041552,Igor,L.EIC022,3LEIC12
202041552,Igor,L.EIC024,3LEIC09
202023362,Carminho,L.EIC002,1LEIC09
202023362,Carminho,L.EIC012,2LEIC10
202023362,Carminho,L.EIC013,2LEIC10
202023362,Carminho,L.EIC015,2LEIC11
202023362,Carminho,L.EIC023,3LEIC08
202023362,Carminho,L.EIC025,3LEIC08
202058297,Jose Diogo,L.EIC013,2LEIC10
202058297,Jose Diogo,L.EIC022,3LEIC07
202058297,Jose Diogo,L.EIC023,3LEIC04
202058297,Jose Diogo,L.EIC024,3LEIC03
202058297,Jose Diogo,L.EIC025,3LEIC03
202024467,Isabel,L.EIC002,1LEIC02
202024467,Isabel,L.EIC013,2LEIC15
202024467,Isabel,L.EIC014,2LEIC09
202024467,Isabel,L.EIC015,2LEIC09
202024212,Valentina,L.EIC002,1LEIC14
202024212,Valentina,L.EIC013,2LEIC09
202024212,Valentina,L.EIC021,3LEIC09
202024212,Valentina,L.EIC022,3LEIC14
202024212,Valentina,L.EIC023,3LEIC09
202024212,Valentina,L.EIC024,3LEIC09
202024212,Valentina,L.EIC025,3LEIC08
202080142,Manuel Emanuel,L.EIC025,3LEIC13
202024637,Daniela,L.EIC002,1LEIC14
202024637,Daniela,L.EIC003,1LEIC16
202024637,Daniela,L.EIC011,2LEIC15
202024637,Daniela,L.EIC013,2LEIC15
202024637,Daniela,L.EIC014,2LEIC09
202028547,Olga,L.EIC003,1LEIC08
202028547,Olga,L.EIC004,1LEIC01
202028547,Olga,L.EIC005,1LEIC07
202028547,Olga,L.EIC011,2LEIC01
202028547,Olga,L.EIC012,2LEIC06
202028547,Olga,L.EIC014,2LEIC04
202060167,Anibal,L.EIC013,2LEIC09
202060167,Anibal,L.EIC014,2LEIC09
202060167,Anibal,L.EIC023,3LEIC09
202060167,Anibal,L.EIC024,3LEIC10
202068922,Jose Pascoal,L.EIC021,3LEIC04
